path,lossy,source,content_type,frame_reduction_class,ssim_control,ssim_cell,comp_control,comp_cell,d_ssim,d_comp,divergence_score,flag
/Users/lachlants/Documents/GIFs/Email/https___userimg-assets.customeriomail.com_images_client-env-93295_1726252371024_New%20Notion%20AI%20Hero_01J7PAHKB26962QV5PBM1C3EWM.gif,40,real,,none,1.0,0.9415631554619928,1.0,0.8243567095310986,-0.05843684453800724,-0.17564329046890137,0.11720644593089413,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_02daa6a2f0aa90cc9c88c656e_images_f19df0a2-38b1-de19-799b-da8e75ea341e (1).gif,60,real,,none,1.0,0.8299370882592941,1.0,0.7130918221694915,-0.17006291174070587,-0.2869081778305085,0.11684526608980261,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_f85fe69f37a041b9d3dcd09f9_images_66157541-b899-8e00-4315-ab5e9e8d1c7e.gif,20,real,,none,1.0,0.9888275666819876,1.0,0.872412219328511,-0.011172433318012431,-0.12758778067148902,0.11641534735347658,
/Users/lachlants/Documents/GIFs/Email/https___d3k81ch9hvuctc.cloudfront.net_company_REkHnd_images_887551a8-b37f-4e22-b2d6-ef77c184782d.gif,20,real,,none,1.0,0.9617444247931132,1.0,0.8457015406995373,-0.03825557520688683,-0.1542984593004627,0.11604288409357588,
/tmp/giflab_divergence_synth/texture_complex.gif,60,synthetic,texture,none,1.0,0.8606976602295004,1.0,0.7446947824047271,-0.13930233977049955,-0.2553052175952729,0.11600287782477336,
/Users/lachlants/Documents/GIFs/Email/unnamed copy 5.gif,20,real,,none,1.0,0.9756544042098058,1.0,0.85982561272904,-0.02434559579019424,-0.14017438727096,0.11582879148076575,
/Users/lachlants/Documents/GIFs/Email/https___mona-edms.s3.mona.net.au_Once+Upon+a+Time+in+Shaolin+EDM_Namedropping_WuTang_eDM_Announce_1.gif,60,real,,none,1.0,0.8653792173798257,1.0,0.7497499897459692,-0.1346207826201743,-0.2502500102540308,0.11562922763385652,
/Users/lachlants/Documents/GIFs/Email/https___mcusercontent.com_5a6eda7241a0bb8bb0a2ab3bc_images_24898123-98b5-b476-dc87-6dc29bfc2782.gif,60,real,,none,1.0,0.7654218513118082,1.0,0.6500851473779902,-0.23457814868819182,-0.34991485262200983,0.11533670393381801,
/Users/lachlants/Documents/GIFs/Email/https___i4.cmail20.com_ei_i_75_24D_4B5_csimport_300-x-2501.154633.gif,40,real,,none,1.0,0.9817839964880104,1.0,0.8669516220549285,-0.018216003511989598,-0.13304837794507152,0.11483237443308192,
/tmp/giflab_divergence_synth/complex_gradient.gif,40,synthetic,complex_gradient,none,1.0,0.930772459924853,1.0,0.8164034673354881,-0.06922754007514698,-0.18359653266451192,0.11436899258936495,
/Users/lachlants/Documents/GIFs/Email/https___i1.cmail20.com_ei_j_D8_7EA_7AF_csimport_piss.151214.gif,20,real,,none,1.0,0.9519874412769774,1.0,0.8381683640882032,-0.04801255872302257,-0.16183163591179683,0.11381907718877426,
/Users/lachlants/Documents/GIFs/Email/https___userimg-assets.customeriomail.com_images_client-env-99697_1705103848622_ai-announcement_01HM01QX7KJD0387CRABAHPXTV.gif,60,real,,dedup,1.0,0.9185816582569308,1.0,0.8048680438086766,-0.08141834174306917,-0.1951319561913234,0.11371361444825423,
/tmp/giflab_divergence_synth/noise_large.gif,60,synthetic,noise,none,1.0,0.9218898950416118,1.0,0.809043518084676,-0.07811010495838822,-0.190956481915324,0.11284637695693578,
